Number,Reading Order,Priority,Topic,Paper Title,Authors/Year,Link / Source,Relevance / Notes,Read Category,Thesis Section
1.0,1.0,Priority 1: Most Important,1.8 Multi-stage Pipeline,"A Multi-Stage, RAG-Enhanced Pipeline for Generating Longitudinal, Clinically Actionable Mental Health Reports from Wearable Sensor Data","U. Oleh et al., 2025",EHB_2025_71.pdf (Provided),[READ #1] This is the core 'what' of your thesis. It describes the complete end-to-end vision and architecture.,Must read,System Architecture: Multi‑Stage HAR → RAG‑LLM Pipeline
2.0,2.0,Priority 1: Most Important,1.3 Model Architectures (HAR),Recognition of Anxiety-Related Activities using 1DCNNBILSTM on Sensor Data from a Commercial Wearable Device,"U. Oleh & R. Obermaisser, 2025",ICTH_16.pdf (Provided),[READ #2] This is the core 'how' for the HAR component. It details the 1D-CNN-BiLSTM model and the 'lab-to-life' problem.,Must read,Methods: HAR Model Architectures (CNN/BiLSTM etc.)
3.0,3.0,Priority 1: Most Important,1.1 Wearable Sensing & Mental Health,ADAM-sense: Anxiety-displaying activities recognition by motion sensors,"N. Khan et al., 2021",https://doi.org/10.1016/j.pmcj.2021.101485,"[READ #3] The foundational dataset your HAR model is based on. Essential to understand its inputs, outputs, and limitations.",Must read,Background & Literature: Wearables + Mental Health
4.0,4.0,Priority 1: Most Important,1.1 Wearable Sensing & Mental Health,Designing a Clinician-Centered Wearable Data Dashboard (CarePortal): Participatory Design Study,"S. Sadhu et al., 2023",https://doi.org/10.2196/46866,"[READ #4] This is the 'why' and 'for whom'. It explains the problem of clinician workflow integration, which your RAG-LLM pipeline solves.",Must read,Background & Literature: Wearables + Mental Health
5.0,5.0,Priority 1: Most important,1.10 Governance & Ethics,Retrieval-Augmented Generation (RAG) in Healthcare: A Comprehensive Review,"F. Neha et al., 2025",https://doi.org/10.3390/ai6090226,[READ #5] The core 'how' for your LLM component. A full review of the RAG technique you are using.,Must read,Background & Literature: Wearables + Mental Health
6.0,6.0,Priority 1: Most Important,1.10 Governance & Ethics,Evaluating large language models on medical evidence summarization,"L. Tang et al., 2023",https://doi.org/10.1038/s41746-023-00896-7,[READ #6] Critical context for *why* RAG is necessary. Discusses LLM 'hallucinations' and factual inconsistency in medicine.,Must read,Background & Literature: Wearables + Mental Health
7.0,7.0,Priority 1: Most Important,1.3 Model Architectures (HAR),Domain adaptation for inertial measurement unit-based human activity recognition: A survey,"A. Chakma et al., 2023",https://arxiv.org/abs/2304.06489,[READ #7] This survey defines your core 'problem statement': the 'lab-to-life' gap and domain shift for IMU sensors.,Must read,Methods: HAR Model Architectures (CNN/BiLSTM etc.)
8.0,8.0,Priority 1: Most Important,1.3 Model Architectures (HAR),Transfer learning in human activity recognition: A survey,"S.G. Dhekane et al., 2024",https://arxiv.org/html/2401.10185v1,"[READ #8] This survey details your 'solution' to the problem: Transfer Learning, which is what you did by fine-tuning the ADAMSense model.",Must read,Methods: HAR Model Architectures (CNN/BiLSTM etc.)
9.0,9.0,Priority 1: Most Important,1.3 Model Architectures (HAR),Deep learning for sensor-based activity recognition: A survey,"J. Wang et al., 2019",https://doi.org/10.1016/j.patrec.2018.02.010,[READ #9] A foundational survey on DL for HAR. Establishes the 'state-of-the-art' that your 1D-CNN-BiLSTM model builds upon.,Must read,Methods: HAR Model Architectures (CNN/BiLSTM etc.)
10.0,10.0,Priority 1: Most Important,1.5 Experiment Tracking,machine learning operations: a survey on MLOps,"N. Hewage & D. Meedeniya, 2022",https://arxiv.org/pdf/2202.10169.pdf,[READ #10] The best starting point for your MLOps chapter. A broad survey covering the entire lifecycle.,Must read,MLOps Chapter: Experiment Tracking & Lifecycle
11.0,11.0,Priority 1: Most Important,1.5 Experiment Tracking,MLOps for Wearable-based Human Activity Recognition,"R. Biswas et al., 2024",https://arxiv.org/abs/2402.01733,[READ #11] Narrows the MLOps survey specifically to your domain (Wearable HAR). Highly relevant.,Must read,MLOps Chapter: Experiment Tracking & Lifecycle
12.0,12.0,Priority 1: Most Important,1.5 Experiment Tracking,MLflow vs DVC: Comparative Study for ML Experiment Tracking,"B. Lemon & S. Ong, 2023",https://arxiv.org/abs/2305.18764,[READ #12] Your first core MLOps tool comparison. Read this to justify your choice of experiment tracking tool.,Must read,MLOps Chapter: Experiment Tracking & Lifecycle
13.0,13.0,Priority 1: Most Important,1.7 Model Serving API,Building Production ML APIs with FastAPI and Flask,"R. Parikh et al., 2022",https://arxiv.org/abs/2207.01814,[READ #13] Your second core MLOps tool comparison. Read this to justify your choice of serving framework.,Must read,MLOps Chapter: Deployment & Model Serving APIs
14.0,14.0,Priority 1: Most Important,1.6 Environment Reproducibility,Enabling End-To-End Machine Learning Replicability,"J. Gardner et al., 2018",https://arxiv.org/pdf/1806.05208.pdf,[READ #14] Your core paper on reproducibility. Justifies the use of Docker/containers for the entire pipeline.,Must read,MLOps Chapter: Reproducibility & Environments (Docker/Conda)
15.0,15.0,Priority 1: Most Important,1.3 Model Architectures (HAR),Deep learning in human activity recognition with wearable sensors: A review on advances,"S. Zhang et al., 2022",https://doi.org/10.3390/s22041476,"Another excellent, more recent review on DL models for wearable HAR. Good for literature review.",Must read,Methods: HAR Model Architectures (CNN/BiLSTM etc.)
16.0,16.0,Priority 1: Most Important,1.1 Wearable Sensing & Mental Health,A Survey on Wearable Sensors for Mental Health Monitoring,"N. Gomes et al., 2023",https://doi.org/10.3390/s23031330,A key review paper connecting your two main fields (wearables and mental health). Perfect for your introduction.,Must read,Background & Literature: Wearables + Mental Health
17.0,17.0,Priority 1: Most Important,1.10 Governance & Ethics,In-context learning for zero-shot medical report generation,"R. Liu et al., 2024",https://doi.org/10.1145/3359217,"Another key paper on the LLM side, focusing on generating medical reports.",Must read,Background & Literature: Wearables + Mental Health
18.0,18.0,Priority 1: Most Important,1.10 Governance & Ethics,Enhancing Health Information Retrieval with RAG by Prioritizing Topical Relevance and Factual Accuracy,"R. Uapadhyay & M. Viviani, 2025",https://arxiv.org/abs/2502.04666,"A second paper on RAG, specifically for *health information*, emphasizing factual accuracy. Very important.",Must read,Background & Literature: Wearables + Mental Health
